,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_exists
558,1,1,1,39,1,1,79.65,S,TRUE
559,1,3,1,36,1,0,17.4,S,TRUE
560,0,3,0,,0,0,7.75,Q,FALSE
561,0,3,0,40,0,0,7.8958,S,TRUE
562,0,2,0,28,0,0,13.5,S,TRUE
563,0,3,0,,0,0,8.05,S,FALSE
564,0,3,1,,0,0,8.05,S,FALSE
565,0,3,0,24,2,0,24.15,S,TRUE
566,0,3,0,19,0,0,7.8958,S,TRUE
567,0,3,1,29,0,4,21.075,S,TRUE
568,0,3,0,,0,0,7.2292,C,FALSE
569,1,3,0,32,0,0,7.8542,S,TRUE
570,1,2,0,62,0,0,10.5,S,TRUE
571,1,1,1,53,2,0,51.4792,S,TRUE
572,1,1,0,36,0,0,26.3875,S,TRUE
573,1,3,1,,0,0,7.75,Q,FALSE
574,0,3,0,16,0,0,8.05,S,TRUE
575,0,3,0,19,0,0,14.5,S,TRUE
576,1,2,1,34,0,0,13,S,TRUE
577,1,1,1,39,1,0,55.9,S,TRUE
578,0,3,1,,1,0,14.4583,C,FALSE
579,1,3,0,32,0,0,7.925,S,TRUE
580,1,2,1,25,1,1,30,S,TRUE
581,1,1,1,39,1,1,110.8833,C,TRUE
582,0,2,0,54,0,0,26,S,TRUE
583,0,1,0,36,0,0,40.125,C,TRUE
584,0,3,0,,0,0,8.7125,C,FALSE
585,1,1,1,18,0,2,79.65,S,TRUE
586,0,2,0,47,0,0,15,S,TRUE
587,1,1,0,60,1,1,79.2,C,TRUE
588,0,3,0,22,0,0,8.05,S,TRUE
589,0,3,0,,0,0,8.05,S,FALSE
590,0,3,0,35,0,0,7.125,S,TRUE
591,1,1,1,52,1,0,78.2667,C,TRUE
592,0,3,0,47,0,0,7.25,S,TRUE
593,0,3,1,,0,2,7.75,Q,FALSE
594,0,2,0,37,1,0,26,S,TRUE
595,0,3,0,36,1,1,24.15,S,TRUE
596,1,2,1,,0,0,33,S,FALSE
597,0,3,0,49,0,0,0,S,TRUE
598,0,3,0,,0,0,7.225,C,FALSE
599,1,1,0,49,1,0,56.9292,C,TRUE
600,1,2,1,24,2,1,27,S,TRUE
601,0,3,0,,0,0,7.8958,S,FALSE
602,0,1,0,,0,0,42.4,S,FALSE
603,0,3,0,44,0,0,8.05,S,TRUE
604,1,1,0,35,0,0,26.55,C,TRUE
605,0,3,0,36,1,0,15.55,S,TRUE
606,0,3,0,30,0,0,7.8958,S,TRUE
607,1,1,0,27,0,0,30.5,S,TRUE
608,1,2,1,22,1,2,41.5792,C,TRUE
609,1,1,1,40,0,0,153.4625,S,TRUE
610,0,3,1,39,1,5,31.275,S,TRUE
611,0,3,0,,0,0,7.05,S,FALSE
612,1,3,1,,1,0,15.5,Q,FALSE
613,0,3,0,,0,0,7.75,Q,FALSE
614,0,3,0,35,0,0,8.05,S,TRUE
615,1,2,1,24,1,2,65,S,TRUE
616,0,3,0,34,1,1,14.4,S,TRUE
617,0,3,1,26,1,0,16.1,S,TRUE
618,1,2,1,4,2,1,39,S,TRUE
619,0,2,0,26,0,0,10.5,S,TRUE
620,0,3,0,27,1,0,14.4542,C,TRUE
621,1,1,0,42,1,0,52.5542,S,TRUE
622,1,3,0,20,1,1,15.7417,C,TRUE
623,0,3,0,21,0,0,7.8542,S,TRUE
624,0,3,0,21,0,0,16.1,S,TRUE
625,0,1,0,61,0,0,32.3208,S,TRUE
626,0,2,0,57,0,0,12.35,Q,TRUE
627,1,1,1,21,0,0,77.9583,S,TRUE
628,0,3,0,26,0,0,7.8958,S,TRUE
629,0,3,0,,0,0,7.7333,Q,FALSE
630,1,1,0,80,0,0,30,S,TRUE
631,0,3,0,51,0,0,7.0542,S,TRUE
632,1,1,0,32,0,0,30.5,C,TRUE
633,0,1,0,,0,0,0,S,FALSE
634,0,3,1,9,3,2,27.9,S,TRUE
635,1,2,1,28,0,0,13,S,TRUE
636,0,3,0,32,0,0,7.925,S,TRUE
637,0,2,0,31,1,1,26.25,S,TRUE
638,0,3,1,41,0,5,39.6875,S,TRUE
639,0,3,0,,1,0,16.1,S,FALSE
640,0,3,0,20,0,0,7.8542,S,TRUE
641,1,1,1,24,0,0,69.3,C,TRUE
642,0,3,1,2,3,2,27.9,S,TRUE
643,1,3,0,,0,0,56.4958,S,FALSE
644,1,3,1,0.75,2,1,19.2583,C,TRUE
645,1,1,0,48,1,0,76.7292,C,TRUE
646,0,3,0,19,0,0,7.8958,S,TRUE
647,1,1,0,56,0,0,35.5,C,TRUE
648,0,3,0,,0,0,7.55,S,FALSE
649,1,3,1,23,0,0,7.55,S,TRUE
650,0,3,0,,0,0,7.8958,S,FALSE
651,1,2,1,18,0,1,23,S,TRUE
652,0,3,0,21,0,0,8.4333,S,TRUE
653,1,3,1,,0,0,7.8292,Q,FALSE
654,0,3,1,18,0,0,6.75,Q,TRUE
655,0,2,0,24,2,0,73.5,S,TRUE
656,0,3,0,,0,0,7.8958,S,FALSE
657,0,3,1,32,1,1,15.5,Q,TRUE
658,0,2,0,23,0,0,13,S,TRUE
659,0,1,0,58,0,2,113.275,C,TRUE
660,1,1,0,50,2,0,133.65,S,TRUE
661,0,3,0,40,0,0,7.225,C,TRUE
662,0,1,0,47,0,0,25.5875,S,TRUE
663,0,3,0,36,0,0,7.4958,S,TRUE
664,1,3,0,20,1,0,7.925,S,TRUE
665,0,2,0,32,2,0,73.5,S,TRUE
666,0,2,0,25,0,0,13,S,TRUE
667,0,3,0,,0,0,7.775,S,FALSE
668,0,3,0,43,0,0,8.05,S,TRUE
669,1,1,1,,1,0,52,S,FALSE
670,1,2,1,40,1,1,39,S,TRUE
671,0,1,0,31,1,0,52,S,TRUE
672,0,2,0,70,0,0,10.5,S,TRUE
673,1,2,0,31,0,0,13,S,TRUE
674,0,2,0,,0,0,0,S,FALSE
675,0,3,0,18,0,0,7.775,S,TRUE
676,0,3,0,24.5,0,0,8.05,S,TRUE
677,1,3,1,18,0,0,9.8417,S,TRUE
678,0,3,1,43,1,6,46.9,S,TRUE
679,1,1,0,36,0,1,512.3292,C,TRUE
680,0,3,1,,0,0,8.1375,Q,FALSE
681,1,1,0,27,0,0,76.7292,C,TRUE
682,0,3,0,20,0,0,9.225,S,TRUE
683,0,3,0,14,5,2,46.9,S,TRUE
684,0,2,0,60,1,1,39,S,TRUE
685,0,2,0,25,1,2,41.5792,C,TRUE
686,0,3,0,14,4,1,39.6875,S,TRUE
687,0,3,0,19,0,0,10.1708,S,TRUE
688,0,3,0,18,0,0,7.7958,S,TRUE
689,1,1,1,15,0,1,211.3375,S,TRUE
690,1,1,0,31,1,0,57,S,TRUE
691,1,3,1,4,0,1,13.4167,C,TRUE
692,1,3,0,,0,0,56.4958,S,FALSE
693,0,3,0,25,0,0,7.225,C,TRUE
694,0,1,0,60,0,0,26.55,S,TRUE
695,0,2,0,52,0,0,13.5,S,TRUE
696,0,3,0,44,0,0,8.05,S,TRUE
697,1,3,1,,0,0,7.7333,Q,FALSE
698,0,1,0,49,1,1,110.8833,C,TRUE
699,0,3,0,42,0,0,7.65,S,TRUE
700,1,1,1,18,1,0,227.525,C,TRUE
701,1,1,0,35,0,0,26.2875,S,TRUE
702,0,3,1,18,0,1,14.4542,C,TRUE
703,0,3,0,25,0,0,7.7417,Q,TRUE
704,0,3,0,26,1,0,7.8542,S,TRUE
705,0,2,0,39,0,0,26,S,TRUE
706,1,2,1,45,0,0,13.5,S,TRUE
707,1,1,0,42,0,0,26.2875,S,TRUE
708,1,1,1,22,0,0,151.55,S,TRUE
709,1,3,0,,1,1,15.2458,C,FALSE
710,1,1,1,24,0,0,49.5042,C,TRUE
711,0,1,0,,0,0,26.55,S,FALSE
712,1,1,0,48,1,0,52,S,TRUE
713,0,3,0,29,0,0,9.4833,S,TRUE
714,0,2,0,52,0,0,13,S,TRUE
715,0,3,0,19,0,0,7.65,S,TRUE
716,1,1,1,38,0,0,227.525,C,TRUE
717,1,2,1,27,0,0,10.5,S,TRUE
718,0,3,0,,0,0,15.5,Q,FALSE
719,0,3,0,33,0,0,7.775,S,TRUE
720,1,2,1,6,0,1,33,S,TRUE
721,0,3,0,17,1,0,7.0542,S,TRUE
722,0,2,0,34,0,0,13,S,TRUE
723,0,2,0,50,0,0,13,S,TRUE
724,1,1,0,27,1,0,53.1,S,TRUE
725,0,3,0,20,0,0,8.6625,S,TRUE
726,1,2,1,30,3,0,21,S,TRUE
727,1,3,1,,0,0,7.7375,Q,FALSE
728,0,2,0,25,1,0,26,S,TRUE
729,0,3,1,25,1,0,7.925,S,TRUE
730,1,1,1,29,0,0,211.3375,S,TRUE
731,0,3,0,11,0,0,18.7875,C,TRUE
732,0,2,0,,0,0,0,S,FALSE
733,0,2,0,23,0,0,13,S,TRUE
734,0,2,0,23,0,0,13,S,TRUE
735,0,3,0,28.5,0,0,16.1,S,TRUE
736,0,3,1,48,1,3,34.375,S,TRUE
737,1,1,0,35,0,0,512.3292,C,TRUE
738,0,3,0,,0,0,7.8958,S,FALSE
739,0,3,0,,0,0,7.8958,S,FALSE
740,1,1,0,,0,0,30,S,FALSE
741,0,1,0,36,1,0,78.85,S,TRUE
742,1,1,1,21,2,2,262.375,C,TRUE
743,0,3,0,24,1,0,16.1,S,TRUE
744,1,3,0,31,0,0,7.925,S,TRUE
745,0,1,0,70,1,1,71,S,TRUE
746,0,3,0,16,1,1,20.25,S,TRUE
747,1,2,1,30,0,0,13,S,TRUE
748,0,1,0,19,1,0,53.1,S,TRUE
749,0,3,0,31,0,0,7.75,Q,TRUE
750,1,2,1,4,1,1,23,S,TRUE
751,1,3,0,6,0,1,12.475,S,TRUE
752,0,3,0,33,0,0,9.5,S,TRUE
753,0,3,0,23,0,0,7.8958,S,TRUE
754,1,2,1,48,1,2,65,S,TRUE
755,1,2,0,0.67,1,1,14.5,S,TRUE
756,0,3,0,28,0,0,7.7958,S,TRUE
757,0,2,0,18,0,0,11.5,S,TRUE
758,0,3,0,34,0,0,8.05,S,TRUE
759,1,1,1,33,0,0,86.5,S,TRUE
760,0,3,0,,0,0,14.5,S,FALSE
761,0,3,0,41,0,0,7.125,S,TRUE
762,1,3,0,20,0,0,7.2292,C,TRUE
763,1,1,1,36,1,2,120,S,TRUE
764,0,3,0,16,0,0,7.775,S,TRUE
765,1,1,1,51,1,0,77.9583,S,TRUE
766,0,1,0,,0,0,39.6,C,FALSE
767,0,3,1,30.5,0,0,7.75,Q,TRUE
768,0,3,0,,1,0,24.15,Q,FALSE
769,0,3,0,32,0,0,8.3625,S,TRUE
770,0,3,0,24,0,0,9.5,S,TRUE
771,0,3,0,48,0,0,7.8542,S,TRUE
772,0,2,1,57,0,0,10.5,S,TRUE
773,0,3,0,,0,0,7.225,C,FALSE
774,1,2,1,54,1,3,23,S,TRUE
775,0,3,0,18,0,0,7.75,S,TRUE
776,0,3,0,,0,0,7.75,Q,FALSE
777,1,3,1,5,0,0,12.475,S,TRUE
778,0,3,0,,0,0,7.7375,Q,FALSE
779,1,1,1,43,0,1,211.3375,S,TRUE
780,1,3,1,13,0,0,7.2292,C,TRUE
781,1,1,1,17,1,0,57,S,TRUE
782,0,1,0,29,0,0,30,S,TRUE
783,0,3,0,,1,2,23.45,S,FALSE
784,0,3,0,25,0,0,7.05,S,TRUE
785,0,3,0,25,0,0,7.25,S,TRUE
786,1,3,1,18,0,0,7.4958,S,TRUE
787,0,3,0,8,4,1,29.125,Q,TRUE
788,1,3,0,1,1,2,20.575,S,TRUE
789,0,1,0,46,0,0,79.2,C,TRUE
790,0,3,0,,0,0,7.75,Q,FALSE
791,0,2,0,16,0,0,26,S,TRUE
792,0,3,1,,8,2,69.55,S,FALSE
793,0,1,0,,0,0,30.6958,C,FALSE
794,0,3,0,25,0,0,7.8958,S,TRUE
795,0,2,0,39,0,0,13,S,TRUE
796,1,1,1,49,0,0,25.9292,S,TRUE
797,1,3,1,31,0,0,8.6833,S,TRUE
798,0,3,0,30,0,0,7.2292,C,TRUE
799,0,3,1,30,1,1,24.15,S,TRUE
800,0,2,0,34,0,0,13,S,TRUE
801,1,2,1,31,1,1,26.25,S,TRUE
802,1,1,0,11,1,2,120,S,TRUE
803,1,3,0,0.42,0,1,8.5167,C,TRUE
804,1,3,0,27,0,0,6.975,S,TRUE
805,0,3,0,31,0,0,7.775,S,TRUE
806,0,1,0,39,0,0,0,S,TRUE
807,0,3,1,18,0,0,7.775,S,TRUE
808,0,2,0,39,0,0,13,S,TRUE
809,1,1,1,33,1,0,53.1,S,TRUE
810,0,3,0,26,0,0,7.8875,S,TRUE
811,0,3,0,39,0,0,24.15,S,TRUE
812,0,2,0,35,0,0,10.5,S,TRUE
813,0,3,1,6,4,2,31.275,S,TRUE
814,0,3,0,30.5,0,0,8.05,S,TRUE
815,0,1,0,,0,0,0,S,FALSE
816,0,3,1,23,0,0,7.925,S,TRUE
817,0,2,0,31,1,1,37.0042,C,TRUE
818,0,3,0,43,0,0,6.45,S,TRUE
819,0,3,0,10,3,2,27.9,S,TRUE
820,1,1,1,52,1,1,93.5,S,TRUE
821,1,3,0,27,0,0,8.6625,S,TRUE
822,0,1,0,38,0,0,0,S,TRUE
823,1,3,1,27,0,1,12.475,S,TRUE
824,0,3,0,2,4,1,39.6875,S,TRUE
825,0,3,0,,0,0,6.95,Q,FALSE
826,0,3,0,,0,0,56.4958,S,FALSE
827,1,2,0,1,0,2,37.0042,C,TRUE
828,1,3,0,,0,0,7.75,Q,FALSE
829,1,1,1,62,0,0,80,S,TRUE
830,1,3,1,15,1,0,14.4542,C,TRUE
831,1,2,0,0.83,1,1,18.75,S,TRUE
832,0,3,0,,0,0,7.2292,C,FALSE
833,0,3,0,23,0,0,7.8542,S,TRUE
834,0,3,0,18,0,0,8.3,S,TRUE
835,1,1,1,39,1,1,83.1583,C,TRUE
836,0,3,0,21,0,0,8.6625,S,TRUE
837,0,3,0,,0,0,8.05,S,FALSE
838,1,3,0,32,0,0,56.4958,S,TRUE
839,1,1,0,,0,0,29.7,C,FALSE
840,0,3,0,20,0,0,7.925,S,TRUE
841,0,2,0,16,0,0,10.5,S,TRUE
842,1,1,1,30,0,0,31,C,TRUE
843,0,3,0,34.5,0,0,6.4375,C,TRUE
844,0,3,0,17,0,0,8.6625,S,TRUE
845,0,3,0,42,0,0,7.55,S,TRUE
846,0,3,0,,8,2,69.55,S,FALSE
847,0,3,0,35,0,0,7.8958,C,TRUE
848,0,2,0,28,0,1,33,S,TRUE
849,1,1,1,,1,0,89.1042,C,FALSE
850,0,3,0,4,4,2,31.275,S,TRUE
851,0,3,0,74,0,0,7.775,S,TRUE
852,0,3,1,9,1,1,15.2458,C,TRUE
853,1,1,1,16,0,1,39.4,S,TRUE
854,0,2,1,44,1,0,26,S,TRUE
855,1,3,1,18,0,1,9.35,S,TRUE
856,1,1,1,45,1,1,164.8667,S,TRUE
857,1,1,0,51,0,0,26.55,S,TRUE
858,1,3,1,24,0,3,19.2583,C,TRUE
859,0,3,0,,0,0,7.2292,C,FALSE
860,0,3,0,41,2,0,14.1083,S,TRUE
861,0,2,0,21,1,0,11.5,S,TRUE
862,1,1,1,48,0,0,25.9292,S,TRUE
863,0,3,1,,8,2,69.55,S,FALSE
864,0,2,0,24,0,0,13,S,TRUE
865,1,2,1,42,0,0,13,S,TRUE
866,1,2,1,27,1,0,13.8583,C,TRUE
867,0,1,0,31,0,0,50.4958,S,TRUE
868,0,3,0,,0,0,9.5,S,FALSE
869,1,3,0,4,1,1,11.1333,S,TRUE
870,0,3,0,26,0,0,7.8958,S,TRUE
871,1,1,1,47,1,1,52.5542,S,TRUE
872,0,1,0,33,0,0,5,S,TRUE
873,0,3,0,47,0,0,9,S,TRUE
874,1,2,1,28,1,0,24,C,TRUE
875,1,3,1,15,0,0,7.225,C,TRUE
876,0,3,0,20,0,0,9.8458,S,TRUE
877,0,3,0,19,0,0,7.8958,S,TRUE
878,0,3,0,,0,0,7.8958,S,FALSE
879,1,1,1,56,0,1,83.1583,C,TRUE
880,1,2,1,25,0,1,26,S,TRUE
881,0,3,0,33,0,0,7.8958,S,TRUE
882,0,3,1,22,0,0,10.5167,S,TRUE
883,0,2,0,28,0,0,10.5,S,TRUE
884,0,3,0,25,0,0,7.05,S,TRUE
885,0,3,1,39,0,5,29.125,Q,TRUE
886,0,2,0,27,0,0,13,S,TRUE
887,1,1,1,19,0,0,30,S,TRUE
888,0,3,1,,1,2,23.45,S,FALSE
889,1,1,0,26,0,0,30,C,TRUE
890,0,3,0,32,0,0,7.75,Q,TRUE
